bromeliad_id,Class,Order,Family,Subfamily,Genus,Species,n,stage
B30,Hexapoda,Diptera,Psychodidae,NA,NA,sp2,1,larva
B30,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B30,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B30,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
T3,Hexapoda,Odonata,NA,NA,NA,sp1,1,larva
T3,Hexapoda,Diptera,Culicidae,Culicinae,Toxorynchites,sp1,1,larva
T3,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,7,larva
T3,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,4,unknown
T3,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,2,larva
T3,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,2,larva
T3,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
T3,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
T3,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,3,larva
B51,Hexapoda,Diptera,Culicidae,Culicinae,Toxorynchites,sp1,1,larva
B51,Hexapoda,Odonata,NA,NA,NA,sp1,1,larva
B50,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,1,larva
B50,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B50,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B51,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,3,larva
B51,Hexapoda,Diptera,Culicidae,Culicinae,NA,sp1,2,pupa
B51,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,2,larva
B51,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,6,unknown
B51,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,10,larva
B51,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,7,larva
B52,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,6,larva
B52,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B52,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,3,larva
B54,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,3,larva
B54,Clitellata,Oligochaeta,NA,NA,NA,sp1,1,unknown
B54,Hexapoda,Coleoptera,Hydrophilidae,NA,NA,sp2,1,larva
B54,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B54,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,3,unknown
B54,Clitellata,Crassiclitellata,NA,NA,NA,sp1,1,unknown
B55,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,7,larva
B55,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,1,unknown
B55,Clitellata,Oligochaeta,NA,NA,NA,sp1,2,unknown
B56,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,2,larva
B57,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,8,larva
B57,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,9,larva
B57,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,2,larva
B57,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,4,larva
B53,Hexapoda,Diptera,Culicidae,Culicinae,Toxorynchites,sp1,2,larva
B53,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,26,larva
B53,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,10,larva
B53,Clitellata,Oligochaeta,NA,NA,NA,sp1,50,unknown
B53,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,13,unknown
B53,Clitellata,Crassiclitellata,NA,NA,NA,sp1,3,unknown
B53,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,2,larva
B53,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,1,larva
B53,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B53,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,2,unknown
B53,Hexapoda,NA,NA,NA,NA,sp1,1,larva
B53,Hexapoda,Coleoptera,Hydrophilidae,NA,NA,sp2,1,larva
B53,Ostracoda,Podocopa,NA,NA,NA,sp1,4,unknown
B58,Hexapoda,Odonata,NA,NA,NA,sp1,1,larva
B58,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,39,larva
B58,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,17,larva
B58,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,pupa
B58,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B58,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,3,larva
B58,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,1,larva
B58,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,9,larva
B58,Hexapoda,NA,NA,NA,NA,sp1,2,larva
B58,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,1,unknown
B58,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,3,unknown
B58,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,2,larva
B58,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B58,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B58,Clitellata,Oligochaeta,NA,NA,NA,sp1,8,unknown
B61,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,5,larva
B61,Ostracoda,Podocopa,NA,NA,NA,sp1,2,unknown
B61,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
B60,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,5,larva
B60,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,7,larva
B60,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B60,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B60,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,2,larva
B60,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B62,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,18,larva
B62,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,11,larva
B62,Hexapoda,Coleoptera,Hydrophilidae,NA,NA,sp1,1,larva
B62,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,5,larva
B62,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B62,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B63,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
B64,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,6,larva
B64,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp2,2,larva
B65,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,pupa
B65,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B65,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,9,larva
B65,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B65,Ostracoda,Podocopa,NA,NA,NA,sp1,4,unknown
B65,Clitellata,Oligochaeta,NA,NA,NA,sp1,7,unknown
B66,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,17,larva
B66,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,3,larva
B66,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,6,larva
B66,Hexapoda,Diptera,Culicidae,Anophelinae,Anopheles,homonculus,1,larva
B66,Ostracoda,Podocopa,NA,NA,NA,sp1,12,unknown
B66,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,2,larva
B67,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,6,larva
B67,Ostracoda,Podocopa,NA,NA,NA,sp1,5,unknown
B67,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,1,larva
B67,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,1,unknown
B67,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B67,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,4,larva
B67,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,1,larva
B67,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B68,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B68,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
B68,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,1,larva
B68,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B68,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,2,larva
B68,Hexapoda,Diptera,Culicidae,Anophelinae,Anopheles,homonculus,1,larva
B68,Clitellata,Oligochaeta,NA,NA,NA,sp1,1,unknown
B68,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,2,larva
B68,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp3,1,larva
B68,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,2,larva
B68,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B69,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,11,larva
B69,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,2,pupa
B69,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,4,larva
B69,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B69,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,2,unknown
B69,Hexapoda,Diptera,Culicidae,Anophelinae,Anopheles,homonculus,1,larva
B69,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B69,Ostracoda,Podocopa,NA,NA,NA,sp1,26,unknown
B69,Hexapoda,Diptera,Syrphidae,NA,NA,sp1,1,larva
B69,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,1,larva
B70,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,8,larva
B70,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,2,larva
B70,Ostracoda,Podocopa,NA,NA,NA,sp1,12,unknown
B70,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,2,larva
B70,Clitellata,Oligochaeta,NA,NA,NA,sp1,8,unknown
B70,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,9,larva
B70,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B70,Hexapoda,Coleoptera,Hydrophilidae,NA,NA,sp2,1,larva
B70,Clitellata,NA,NA,NA,NA,sp1,1,unknown
B71,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,11,larva
B71,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,7,larva
B71,Clitellata,Oligochaeta,NA,NA,NA,sp1,1,unknown
B71,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,3,larva
B72,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,7,larva
B72,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,1,unknown
B72,Clitellata,Oligochaeta,NA,NA,NA,sp1,1,unknown
B72,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B72,Hexapoda,Diptera,Culicidae,Culicinae,NA,sp1,1,larva
B72,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,2,larva
B72,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,6,larva
B73,Hexapoda,Odonata,NA,NA,NA,sp1,1,larva
B73,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,6,larva
B73,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,2,larva
B73,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,2,larva
B73,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B73,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B74,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,2,larva
B74,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
B74,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,1,unknown
B74,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B74,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,1,larva
B74,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp3,1,larva
B75,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,6,larva
B75,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,5,larva
B75,Clitellata,Oligochaeta,NA,NA,NA,sp1,1,unknown
B75,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,3,larva
B75,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B75,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp3,1,larva
B76,Clitellata,Oligochaeta,NA,NA,NA,sp1,1,unknown
B76,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B76,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp1,13,larva
B76,Ostracoda,Podocopa,NA,NA,NA,sp1,3,unknown
B76,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,pupa
B76,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B76,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,1,larva
B76,Turbellaria,Tricladida,NA,NA,NA,sp1,2,unknown
B76,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B77,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,2,unknown
B77,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B77,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B77,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
B78,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,19,larva
B78,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,3,larva
B78,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B78,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,2,larva
B78,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp2,1,larva
B79,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,14,larva
B79,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,5,larva
B79,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,3,unknown
B79,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,1,larva
B79,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,1,unknown
B79,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B79,Clitellata,Oligochaeta,NA,NA,NA,sp1,3,unknown
B79,Turbellaria,Tricladida,NA,NA,NA,sp1,1,unknown
B79,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B80,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B80,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
B80,Hexapoda,Coleoptera,Hydrophilidae,NA,NA,sp1,1,larva
B80,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,1,larva
B81,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B81,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B81,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B81,Turbellaria,Tricladida,NA,NA,NA,sp1,1,unknown
B82,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,8,larva
B82,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,5,larva
B82,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,2,larva
B82,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B82,Hexapoda,Diptera,Syrphidae,NA,NA,sp1,1,larva
B82,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,pupa
B82,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B85,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,17,larva
B85,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,4,larva
B83,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,11,larva
B83,Clitellata,Oligochaeta,NA,NA,NA,sp1,82,unknown
B83,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,1,unknown
B83,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,7,larva
B83,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B83,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,6,larva
B83,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B83,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,1,larva
B83,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B84,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,12,larva
B84,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B84,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,2,larva
B84,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,11,larva
B84,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,pupa
B86,Copepoda,NA,NA,NA,NA,sp1,1,unknown
B86,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,9,larva
B86,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B86,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,1,larva
B86,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,11,larva
B86,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B86,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,14,larva
B86,Clitellata,Oligochaeta,NA,NA,NA,sp1,8,unknown
B86,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B86,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp2,1,larva
B86,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,2,larva
B86,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,2,unknown
B86,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B86,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B86,Hexapoda,Coleoptera,Hydrophilidae,NA,NA,sp1,1,larva
B87,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
B87,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,3,larva
B87,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,3,unknown
B87,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,1,larva
B87,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B87,Clitellata,Oligochaeta,NA,NA,NA,sp1,2,unknown
B87,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B88,Copepoda,NA,NA,NA,NA,sp1,2,unknown
B88,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,6,larva
B88,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,1,larva
B88,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,6,unknown
B88,Clitellata,Oligochaeta,NA,NA,NA,sp1,4,unknown
B88,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,1,larva
B88,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B88,Ostracoda,Podocopa,NA,NA,NA,sp1,3,unknown
B88,Hexapoda,Coleoptera,Hydrophilidae,NA,NA,sp1,1,larva
B89,Copepoda,Cladocera,NA,NA,NA,sp1,1,unknown
B89,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,1,larva
B89,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,5,larva
B89,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,4,larva
B89,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
B89,Clitellata,Crassiclitellata,NA,NA,NA,sp1,2,unknown
B89,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,8,larva
B89,Turbellaria,Tricladida,NA,NA,NA,sp1,1,unknown
B90,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,5,unknown
B90,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,1,larva
B90,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B90,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B90,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B91,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,3,larva
B91,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,8,unknown
B91,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,2,larva
B91,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,6,larva
B91,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,2,larva
B92,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,16,larva
B92,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,6,larva
B92,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,10,larva
B92,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B92,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,pupa
B93,Hexapoda,Diptera,Culicidae,Culicinae,Toxorynchites,sp1,1,larva
B93,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,15,larva
B93,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,9,larva
B93,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,4,unknown
B93,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B93,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,10,unknown
B93,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B93,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,2,larva
B93,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B93,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B93,Clitellata,Oligochaeta,NA,NA,NA,sp1,1,unknown
B93,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,2,larva
B93,Hexapoda,Diptera,NA,NA,NA,sp1,1,pupa
B105,Hexapoda,Odonata,NA,NA,NA,sp1,4,larva
B105,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,9,larva
B105,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,14,larva
B105,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,24,larva
B105,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,1,unknown
B105,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,5,larva
B105,Ostracoda,Podocopa,NA,NA,NA,sp1,32,unknown
B105,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,2,larva
B105,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,2,larva
B105,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp1,2,larva
B105,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B104,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,8,larva
B104,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,17,larva
B104,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B104,Ostracoda,Podocopa,NA,NA,NA,sp1,2,unknown
B104,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,7,larva
B104,Ostracoda,Podocopa,NA,NA,NA,sp1,32,unknown
B104,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp1,6,larva
B104,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,6,larva
B104,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,4,larva
B104,Hexapoda,Diptera,Culicidae,Anophelinae,Anopheles,homonculus,1,larva
B104,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B104,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,2,larva
B104,Hexapoda,NA,NA,NA,NA,sp1,1,larva
B102,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,2,larva
B102,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,14,larva
B102,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
B102,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,7,larva
B102,Hexapoda,Diptera,Corethrellidae,NA,NA,sp1,1,larva
B102,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp1,2,larva
B102,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B102,Hexapoda,NA,NA,NA,NA,sp1,3,larva
B102,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,2,larva
B102,Ostracoda,Podocopa,NA,NA,NA,sp1,7,unknown
B102,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B102,Hexapoda,Diptera,Culicidae,Anophelinae,Anopheles,homonculus,1,larva
B101,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,7,larva
B101,Ostracoda,Podocopa,NA,NA,NA,sp1,9,unknown
B101,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,11,larva
B101,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,28,larva
B101,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,3,larva
B101,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,1,larva
B101,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,2,larva
B101,Hexapoda,NA,NA,NA,NA,sp1,1,larva
B101,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B101,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,2,larva
B101,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp3,1,larva
B101,Clitellata,Oligochaeta,NA,NA,NA,sp1,1,unknown
B101,Clitellata,NA,NA,NA,NA,sp1,1,unknown
B103,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,18,larva
B103,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp3,1,larva
B103,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B103,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,6,larva
B103,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,3,larva
